epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,416.868,1.40253,0.71343,0.88082,0.89083,0.9646,0.94129,0.53943,1.38653,0.72354,0.90215,0.0012212,0.0012212,0.0012212
61,423.823,1.34908,0.73751,0.87554,0.8946,0.90265,0.95287,0.57623,1.40631,0.73461,0.90042,0.001208,0.001208,0.001208
62,430.914,1.4117,0.77091,0.86967,0.88524,0.88741,0.93563,0.55286,1.43595,0.71786,0.89355,0.0011948,0.0011948,0.0011948
63,437.743,1.40265,0.7424,0.86538,0.92967,0.84956,0.95907,0.56662,1.4282,0.72692,0.90667,0.0011816,0.0011816,0.0011816
64,444.621,1.4947,0.73286,0.86774,0.81021,0.86893,0.91738,0.50293,1.56164,0.78675,0.93646,0.0011684,0.0011684,0.0011684
65,451.39,1.42876,0.77212,0.89523,0.88473,0.88302,0.93669,0.56275,1.40344,0.72408,0.88846,0.0011552,0.0011552,0.0011552
66,458.189,1.3728,0.73149,0.85775,0.88366,0.90265,0.94598,0.56574,1.43148,0.74445,0.91662,0.001142,0.001142,0.001142
67,465.041,1.46599,0.76507,0.8749,0.89804,0.93805,0.96066,0.57301,1.36791,0.71052,0.90514,0.0011288,0.0011288,0.0011288
68,471.83,1.44761,0.73885,0.86305,0.91491,0.79646,0.91546,0.50595,1.4964,0.80522,0.94582,0.0011156,0.0011156,0.0011156
69,478.63,1.4227,0.71507,0.87412,0.86774,0.76106,0.87612,0.51987,1.50209,0.85894,0.92564,0.0011024,0.0011024,0.0011024
70,485.583,1.39211,0.70454,0.86869,0.91279,0.85841,0.92132,0.54442,1.4028,0.74034,0.89889,0.0010892,0.0010892,0.0010892
71,492.536,1.40225,0.72978,0.86796,0.87631,0.87776,0.90178,0.53421,1.37873,0.76384,0.90709,0.001076,0.001076,0.001076
72,499.415,1.40558,0.72953,0.88381,0.90465,0.86726,0.94129,0.58019,1.37915,0.71875,0.90198,0.0010628,0.0010628,0.0010628
73,506.489,1.41264,0.72972,0.85161,0.84861,0.9115,0.92675,0.56178,1.34783,0.72327,0.89572,0.0010496,0.0010496,0.0010496
74,513.594,1.35178,0.70347,0.85996,0.86613,0.80531,0.91409,0.54711,1.38582,0.76226,0.90734,0.0010364,0.0010364,0.0010364
75,520.653,1.3806,0.72971,0.85662,0.84373,0.9292,0.92085,0.54383,1.37239,0.71879,0.89784,0.0010232,0.0010232,0.0010232
76,527.696,1.40549,0.70452,0.8778,0.9,0.89381,0.93967,0.56593,1.44368,0.7164,0.91992,0.00101,0.00101,0.00101
77,534.801,1.46451,0.73146,0.85693,0.86388,0.89862,0.92987,0.50157,1.66203,0.77614,0.91048,0.0009968,0.0009968,0.0009968
78,541.877,1.39481,0.70705,0.85323,0.88182,0.88496,0.94681,0.57573,1.36154,0.67301,0.9037,0.0009836,0.0009836,0.0009836
79,548.901,1.37864,0.6608,0.83457,0.9454,0.84071,0.94583,0.57109,1.35706,0.69903,0.88882,0.0009704,0.0009704,0.0009704
80,555.983,1.32038,0.69519,0.85255,0.85764,0.84071,0.90325,0.54602,1.38374,0.76033,0.91325,0.0009572,0.0009572,0.0009572
81,562.78,1.34909,0.67397,0.85223,0.89679,0.92272,0.9612,0.59416,1.31324,0.68716,0.88658,0.000944,0.000944,0.000944
82,569.666,1.32113,0.67028,0.8432,0.9063,0.94156,0.96654,0.58771,1.40397,0.66029,0.8979,0.0009308,0.0009308,0.0009308
83,576.469,1.29469,0.68023,0.84015,0.90515,0.9292,0.95791,0.57691,1.4012,0.69614,0.88317,0.0009176,0.0009176,0.0009176
84,583.282,1.44046,0.70345,0.8358,0.90815,0.86726,0.94894,0.5651,1.38312,0.71511,0.88779,0.0009044,0.0009044,0.0009044
85,590.075,1.34595,0.68951,0.83512,0.9005,0.88496,0.95107,0.58853,1.28996,0.66842,0.87222,0.0008912,0.0008912,0.0008912
86,596.884,1.36496,0.68888,0.8397,0.95879,0.83186,0.94793,0.55785,1.42551,0.70808,0.88084,0.000878,0.000878,0.000878
